frame_id,instance_id,x,y,z,rotation
1.0,5700.0,853.555,347.2,1.547,-0.7250795844408073
2.0,5700.0,856.482,344.556,1.747,-0.7250795844408073
3.0,5700.0,860.297,341.126,1.697,-0.7250795844408073
4.0,5700.0,863.301,338.414,1.697,-0.7250795844408073
5.0,5700.0,865.821,336.128,1.797,-0.730714528237673
6.0,5700.0,868.224,333.941,1.745,-0.7369041782303878
7.0,5700.0,869.924,332.393,1.697,-0.7425328769607503
8.0,5700.0,871.444,331.008,1.699,-0.7425328769607503
9.0,5700.0,872.242,330.084,1.752,-0.7425328769607503
10.0,5700.0,872.676,329.532,1.751,-0.7517214789369562
11.0,5700.0,873.066,329.035,1.761,-0.7599861694806936
12.0,5700.0,873.578,328.732,1.805,-0.7518700109301348
13.0,5700.0,874.089,328.43,1.868,-0.7437542745169123
14.0,5700.0,874.651,328.097,1.701,-0.7348213126928779
15.0,5700.0,875.265,327.733,1.519,-0.7250795844408073
16.0,5700.0,876.217,326.814,1.809,-0.7338057598479802
17.0,5700.0,877.169,325.894,1.9,-0.7425328769607503
18.0,5700.0,878.832,324.358,1.965,-0.7250701278012994
19.0,5700.0,880.334,322.959,1.93,-0.7076262919208642
20.0,5700.0,882.255,321.408,1.745,-0.6901729994009212
21.0,5700.0,884.346,319.793,1.801,-0.6850038843058632
22.0,5700.0,887.002,317.741,1.693,-0.678540014150747
23.0,5700.0,889.317,315.955,1.946,-0.672719706880978
24.0,5700.0,892.039,313.651,1.991,-0.6814515496474832
25.0,5700.0,894.878,311.25,2.035,-0.6901729994009212
26.0,5700.0,898.199,308.62,2.23,-0.6901729994009212
27.0,5700.0,901.846,305.732,2.371,-0.6901729994009212
28.0,5700.0,904.829,303.37,2.487,-0.6901729994009212
29.0,5700.0,908.15,300.74,2.615,-0.6901729994009212
30.0,5700.0,911.467,297.683,2.672,-0.6944326621457249
31.0,5700.0,914.779,294.629,2.729,-0.6986876431380002
32.0,5700.0,918.426,291.268,2.792,-0.7033710300234373
33.0,5700.0,921.739,288.214,2.862,-0.7076262919208642
34.0,5700.0,925.043,285.304,2.707,-0.7076262919208642
35.0,5700.0,928.345,282.398,2.752,-0.7076262919208642
36.0,5700.0,931.261,279.647,2.847,-0.7163682225269361
37.0,5700.0,934.167,276.906,2.941,-0.7250795844408073
38.0,5700.0,937.284,274.397,2.736,-0.7163484630268351
17.0,5701.0,931.735,284.28,1.104,2.4379950534654897
18.0,5701.0,928.145,287.371,1.104,2.4379950534654897
19.0,5701.0,924.559,290.458,1.104,2.4379950534654897
20.0,5701.0,920.973,293.546,1.104,2.4379950534654897
21.0,5701.0,918.105,296.014,1.104,2.4379950534654897
22.0,5701.0,914.519,299.102,1.104,2.4379950534654897
23.0,5701.0,911.29,301.882,1.104,2.4379950534654897
24.0,5701.0,908.372,304.362,1.104,2.4379950534654897
25.0,5701.0,905.457,306.84,1.104,2.4379950534654897
26.0,5701.0,903.573,308.724,1.104,2.4379950534654897
27.0,5701.0,901.505,310.794,1.104,2.4379950534654897
28.0,5701.0,899.813,312.486,1.104,2.4379950534654897
29.0,5701.0,898.492,313.557,1.104,2.4379950534654897
30.0,5701.0,897.17,314.627,1.104,2.4379950534654897
31.0,5701.0,895.851,315.695,1.104,2.4379950534654897
32.0,5701.0,895.424,316.178,0.954,2.4379950534654897
33.0,5701.0,894.907,316.465,1.104,2.4379950534654897
34.0,5701.0,894.445,316.795,1.038,2.4845741476500147
35.0,5701.0,893.969,317.102,0.971,2.531101303297678
36.0,5701.0,893.398,317.267,0.904,2.577737176169453
37.0,5701.0,891.685,318.121,0.838,2.717240289416231
38.0,5701.0,890.689,318.49,0.921,2.839479713304812
7.0,5702.0,854.602,345.755,1.035,-0.6901729994009212
8.0,5702.0,857.671,343.205,1.018,-0.6901729994009212
9.0,5702.0,860.737,340.658,1.001,-0.6901729994009212
10.0,5702.0,863.093,338.697,0.985,-0.6901729994009212
11.0,5702.0,864.78,337.29,0.985,-0.6901729994009212
12.0,5702.0,866.063,336.215,0.985,-0.6901729994009212
13.0,5702.0,867.028,335.403,0.985,-0.6901729994009212
14.0,5702.0,867.523,334.992,1.018,-0.6901729994009212
15.0,5702.0,868.063,334.545,1.054,-0.6901729994009212
16.0,5702.0,868.513,334.172,1.085,-0.6901729994009212
17.0,5702.0,869.321,333.489,0.985,-0.6901729994009212
18.0,5702.0,870.329,332.625,0.985,-0.6901729994009212
19.0,5702.0,871.336,331.762,0.985,-0.6901729994009212
20.0,5702.0,872.344,330.899,0.985,-0.6901729994009212
21.0,5702.0,873.4,330.027,0.985,-0.6901729994009212
22.0,5702.0,874.721,328.937,0.985,-0.6901729994009212
23.0,5702.0,875.329,328.435,0.985,-0.6901729994009212
24.0,5702.0,876.004,327.877,0.985,-0.6901729994009212
25.0,5702.0,876.679,327.32,0.985,-0.6901729994009212
26.0,5702.0,877.355,326.762,0.985,-0.6901729994009212
27.0,5702.0,878.929,325.463,1.012,-0.6901729994009212
28.0,5702.0,880.216,324.4,1.035,-0.6901729994009212
29.0,5702.0,882.138,322.672,1.16,-0.6901729994009212
30.0,5702.0,884.061,320.943,1.285,-0.6901729994009212
31.0,5702.0,886.597,318.709,1.235,-0.6901729994009212
32.0,5702.0,889.555,316.111,1.135,-0.6901729994009212
33.0,5702.0,892.411,313.612,1.235,-0.6901729994009212
34.0,5702.0,895.27,311.111,1.335,-0.7076262919208642
35.0,5702.0,898.126,308.612,1.334,-0.7076262919208642
36.0,5702.0,901.366,305.617,1.334,-0.7076262919208642
37.0,5702.0,904.594,302.633,1.334,-0.7076262919208642
19.0,5703.0,849.487,348.844,0.701,-0.7054271770718419
20.0,5703.0,850.556,347.818,0.689,-0.7054271770718419
21.0,5703.0,851.411,346.998,0.679,-0.7054271770718419
22.0,5703.0,852.479,345.972,0.667,-0.7054271770718419
23.0,5703.0,853.442,345.048,0.657,-0.7054271770718419
24.0,5703.0,854.511,344.022,0.645,-0.7054271770718419
25.0,5703.0,855.578,342.997,0.633,-0.7054271770718419
26.0,5703.0,856.649,341.97,0.621,-0.7054271770718419
27.0,5703.0,857.824,340.842,0.607,-0.7054271770718419
28.0,5703.0,858.785,339.919,0.597,-0.7054271770718419
29.0,5703.0,859.855,338.892,0.642,-0.7054271770718419
30.0,5703.0,860.815,338.004,0.651,-0.7054271770718419
31.0,5703.0,861.775,337.117,0.66,-0.7054271770718419
32.0,5703.0,863.114,335.899,0.67,-0.7054271770718419
33.0,5703.0,864.332,334.792,0.679,-0.7054271770718419
34.0,5703.0,864.854,334.299,0.695,-0.7112447397393185
35.0,5703.0,865.376,333.807,0.712,-0.7170558154688598
